	word_count	tfidf	lda_Topic1	lda_Topic2	lda_Topic3	lda_Topic4	lda_Topic5	lda_Topic6	lda_Topic7	lda_Topic8	lda_Topic9	lda_Topic10
0	contact	email	request	refer	floor	uk	feel	contact	information	email	contact	directly
1	email	contact	california	additional	street	co	free	data	contact	contact	email	org
2	question	question	resident	authority	cookie	write	contact	datum	child	information	question	findmykids
3	privacy	privacy	submit	support	inc	marketing	limit	url	believe	personal	privacy	net
4	policy	policy	phone	sega	usa	direct	team	party	personal	receive	policy	support
5	information	information	address	learn	post	dpd	general	protection	age	account	information	reach
6	personal	data	post	infinitygames	attn	sega	reuters	website	email	support	data	alternatively
7	data	personal	obtain	io	administrator	service	thomson	use	provide	time	datum	agent
8	use	concern	respond	ooo	francisco	limited	notify	address	use	use	concern	zedge
9	support	use	st	tekhnolodzhi	query	customer	service	twitter	collect	delete	personal	representative
10	datum	request	rue	yumobi	san	services	url	form	detail	url	regard	dpo
11	request	regard	paris	collection	ny	europe	assist	states	number	website	use	eea
12	concern	support	search	arise	mention	road	identity	marketing	office	address	right	7pr
13	regard	right	enquiry	present	mail	mcdonald	ru	european	parent	page	protection	liverpool
14	address	protection	direct	relate	spotify	communication	carefully	privacy	legal	wish	request	44
15	protection	officer	business	webmartgroup	notice	telephone	read	disclose	data	send	officer	ec2
16	right	mail	france	claim	breach	delivery	letsvpn	officer	controller	access	support	questions
17	officer	datum	removal	wing	me	support	uk	company	limited	unsubscribe	exercise	centre
18	send	address	hit	guildford	building	instruction	professional	unresolved	registration	communication	address	octaaf
19	exercise	exercise	copy	information	service	kingdom	contractual	dispute	uk	request	practice	westrem
20	question	question	question	query	igsinc	information	update	question	term	child	datum	request
21	email	email	information	right	kr	contact	delivery	email	enquiry	information	protection	email
22	information	information	number	phone	co	right	postcode	privacy	event	age	support	address
23	privacy	privacy	suggestion	relation	email	detail	removal	policy	safeguard	website	data	marketing
24	policy	policy	account	version	netmarble	party	dot	concern	team	email	question	data
25	datum	right	section	response	resident	resident	com	practice	clarification	parent	complaint	form
26	concern	concern	datum	nature	privacy	time	contact	comment	issue	page	officer	controller
27	right	support	registration	alternative	question	law	mail	mail	18th	support	concern	right
28	request	request	support	circumstance	concern	consent	privacy	information	article	app	use	communication
29	support	datum	collection	fax	contact	notice	login	address	experience	guardian	service	copy
30	address	address	office	place	request	order	compliance	user	career	account	processing	access
31	contact	contact	issue	safeguard	access	purpose	meaning	support	entity	year	information	telephone
32	child	mail	company	headspace	comment	privacy	blog	use	business	service	way	instruction
33	data	child	basis	voice	information	preference	regulator	time	game	drawer	party	datum
34	practice	comment	time	document	use	company	claim	matter	action	minimum	customer	post
35	comment	data	password	writing	page	choice	port	right	member	info	inquiry	web
36	mail	practice	info	regard	mail	business	app	security	regulation	use	privacy	day
37	use	detail	problem	cost	query	measure	form	content	portal	access	co	preference
38	protection	use	vat	mobile	account	game	technology	complaint	accordance	business	uk	country
39	complaint	protection	processing	charge	right	device	affiliate	message	scope	section	cookie	statement
40	contact	contact	find	contact	want	contact	disclose	receive	contact	regard	contact	reach
41	regard	regard	concern	provide	write	use	hesitate	address	live	contact	email	remove
42	use	use	register	believe	process	exercise	protect	visit	locate	send	follow	direct
43	send	exercise	need	learn	know	like	transfer	contact	mention	wish	request	inform
44	exercise	send	note	delete	wish	collect	apply	list	state	delete	write	follow
45	provide	provide	disable	use	exercise	feel	hold	limit	assist	update	send	deliver
46	email	email	act	compromise	send	obtain	talk	open	offer	resolve	opt	email
47	wish	believe	hit	hold	let	link	hope	review	occur	share	use	return
48	like	like	relate	remain	refer	include	enjoy	file	add	try	submit	attempt
49	believe	write	use	head	respond	relate	enforce	triage	perform	modify	describe	update
50	write	wish	search	require	relate	display	buy	recommend	govern	review	support	heres
51	want	follow	ensure	encourage	hold	think	acquire	stay	designate	change	post	cancel
52	follow	reach	enter	resolve	set	delete	sell	center	relate	welcome	ask	select
53	collect	feel	close	advise	deal	entitle	comply	indicate	fulfil	mail	include	complain
54	delete	want	publish	misuse	erase	view	share	enforce	authenticate	unsubscribe	access	delete
55	feel	find	reset	withdraw	include	set	agree	communicate	email	correct	appoint	restrict
56	receive	collect	authenticate	operativesappsupport	base	process	create	use	wish	allow	help	access
57	process	delete	fulfil	adhere	arise	update	upload	tap	exercise	feel	report	exercise
58	reach	request	instal	specify	agree	post	click	scroll	regard	access	require	wish
59	request	receive	involve	alert	affect	notify	hear	search	need	ensure	unsubscribe	feel
