sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
According to article 77 of the General Data Protection Regulation ( GDPR ) you are entitled to the right of appeal to the supervisory authority without prejudice to any wider administrative or judicial remedy .	NaN	NaN	NaN	NaN
In addition to those rights , you have the right to lodge a complaint with relevant supervisory authorities .	NaN	NaN	NaN	NaN
Users have the right to bring a claim before their competent data protection authority .	NaN	NaN	NaN	NaN
You have the right to make a complaint at any time to the Information Commissioners Office ( ICO ) , the UK supervisory authority for data protection issues ( www.ico.org.uk )	NaN	['a complaint', 'the right']	NaN	['the Information Commissioners Office',' ICO',www.ico.org.uk,the UK supervisory authority]
Lodge a complaint with your national supervisory authority ( in the EEA ) if you believe that your privacy rights have been breached	['lodge']	['a complaint']	NaN	['your national supervisory authority ']
You also have the right to lodge a complaint with a competent data protection supervisory authority in the country in which you reside .	NaN	NaN	NaN	NaN
You can contact us or use other options to resolve any complaints .	NaN	NaN	NaN	NaN
You also have a right to lodge a complaint with a competent supervisory authority situated in a Member State of your habitual residence , place of work , or place of alleged infringement .	NaN	NaN	NaN	NaN
Right to file a complaint with your supervisory authoriy	NaN	NaN	NaN	NaN
You will also have the right to file a complaint with the competent supervisory authority .	NaN	NaN	NaN	NaN
the existence of the right to lodge a complaint with a supervisory authority ;	NaN	NaN	NaN	NaN
Right to send complaints to the supervisory authority in accordance with Art	NaN	NaN	NaN	NaN
you can contact the data protection supervisory authority directly ) .	NaN	NaN	NaN	NaN
Should you have a grave complaint about the way we process your personal data that can not be resolved together with us , you may lodge a complaint with the Dutch Supervisory Authority Autoriteit Persoonsgegevens .	['lodge']	['a complaint', 'a grave complaint']	NaN	['the Dutch Supervisory Authority, 'Autoriteit Persoonsgegevens']
If you are unhappy with the way we are processing your personal data , please let us know by contacting us via the email	NaN	NaN	NaN	NaN
If you are unhappy with the final response you have received from us , you have the right to complain to the supervisory authority : the Information Commissioners Office ( ICO )	['complain']	['the right']	NaN	['the Information Commissioners Office','ICO']
You are also entitled to lodge a complaint with a supervisory authority if You consider that Your personal data has been processed in contradiction with applicable data protection legislation .	NaN	NaN	NaN	NaN
If You are a resident of , if Your place of work is in or if the alleged infringement of data protection law has taken place in Singapore , You may lodge Your complaint to the Personal Data Protection Commission of Singapore .	['lodge']	['your complaint']	NaN	['Personal Data Protection Commission of Singapore']
Right to complain : You have the right to file a complaint regarding our processing of your personal data at the relevant supervisory authority under the GDPR .	NaN	NaN	NaN	NaN
If you are unhappy with our use of your Personal Information then please contact our customer services department by emailing -Email-	NaN	NaN	NaN	NaN
You also have the right to complain to the responsible supervisory authority if you believe that the processing of your personal data is in violation of the legislation .	NaN	NaN	NaN	NaN
If you are not content with how Thomson Reuters manages your personal information , you can lodge a complaint with a privacy supervisory authority	NaN	NaN	NaN	NaN
You have the right to complain to a data protection authority about our collection and use of your personal information .	NaN	NaN	NaN	NaN
You have a right to raise questions or complaints with us as described below or with your local data protection authority at any time .	NaN	['complaints', 'the right']	NaN	['your local data protection authority ']
We are committed to resolving valid complaints about your privacy and our collection or use of your personal data or information	NaN	NaN	NaN	NaN
also have the right to lodge a complaint with the Netherlands Data Authority , the lead supervisory authority for the processing of Personal Data of individuals located in the EU .	['lodge']	['a complaint', 'the right']	NaN	['Netherlands Data Authority']
If you would like to make a complaint regarding this Privacy Policy or our practices in relation to your Personal Data , please contact us at : -Email- .	NaN	['a complaint']	['contact']	['-Email-']
You may also contact your local data protection authority within the European Economic Area for unresolved complaints .	NaN	NaN	NaN	NaN
Should you have any other complaint , please contact the appropriate national data protection authority .	NaN	NaN	NaN	NaN
In any event the user has always the right to lodge a complaint with the competent Authority for the Protection of Personal Data if he believes that the processing of his data is carried out in breach of the applicable law .	NaN	NaN	NaN	NaN
exercise the right to lodge a complaint with a relevant supervisory authority .	NaN	NaN	NaN	NaN
You have the right to complain to a Data Protection Authority about our collection and use of your Personal Data .	NaN	NaN	NaN	NaN
If you wish to make a complaint over the processing of your personal data , you have the right to lodge a complaint to the relevant supervisory authority .	NaN	NaN	NaN	NaN
If you reside in the European Economic Area , should you wish to raise a concern about our use of your information ( and without prejudice to any other rights you may have ) , you have the right to do so with your local data protection authority .	NaN	['the right']	NaN	['your local data protection authority ']
You can lodge a complaint with us about any breach of our Privacy Policy at the address below .	['lodge']	['a complaint']	NaN	['the address']
The right to lodge a complaint with supervisory authority .	NaN	NaN	NaN	NaN
Nevertheless , you have the right to lodge a complaint with a competent data protection supervisory authority , in particular in the EU Member State where you reside , work or where the alleged infringement has taken place .	NaN	NaN	NaN	NaN
Right to lodge a complaint with a supervisory authority ( a supervisory authority is a state authority in your country which supervises the compliance with GDPR by legal and natural persons that process personal data of data subjects ) ;	NaN	NaN	NaN	NaN
You may lodge a complaint with a supervisory authority if you consider that our processing of your Personal Data infringes applicable law .	NaN	NaN	NaN	NaN
You also have the right to complain to your supervisory authority ( further details of which are set out in Section 11 below ) .	NaN	NaN	NaN	NaN
If you have any issue arising from this policy , including requests to exercise data subject rights , you can contact us at support page :	NaN	NaN	NaN	NaN
You also have a right to lodge a complaint with your national data protection supervisory authority at any time	['lodge']	['a complaint', 'a right']	NaN	['your national data protection supervisory authority']
You also have the right to lodge a complaint about the processing of your personal information with your local data protection authority in the EEA .	['lodge']	['a complaint', 'the right']	NaN	['your local data protection authority']
You have the right to submit a complaint about the handling of your personal information to the local data protection authorities in the EEA .	NaN	['a complaint', 'the right']	NaN	['the local data protection authorities']
( vii ) a right to complain to your national data protection regulator ;	['complain']	['a right']	NaN	['your national data protection regulator']
You have the right to lodge a complaint with a supervisory authority if you think that the processing of Data infringes applicable law , especially the GDPR .	NaN	NaN	NaN	NaN
to lodge a complaint with a data protection supervisory body , which at present , is the Information Commissioner  s Office .	['lodge']	['a complaint']	NaN	['the Information Commissioner  s Office']
Right to Lodge a Complaint .	NaN	NaN	NaN	NaN
You further have the right to lodge a complaint with a supervisory authority ( Art	NaN	NaN	NaN	NaN
If you disagree with our processing of personal identifiable information you can lodge a complaint with the data protection authorities .	NaN	NaN	NaN	NaN
Right to lodge a complaint with the data protection authority : If you have a concern about our privacy practices , including the way we handled your Personal Data , you can report it to the data protection authority that is authorized to hear those concerns .	NaN	NaN	NaN	NaN
the right to lodge a complaint with a supervisory authority ;	NaN	NaN	NaN	NaN
Under EU law you have the right to lodge a complaint regarding the processing of your personal data by Medium with the dedicated Supervisory Authority of your EU member state .	NaN	NaN	NaN	NaN
Right to File Complaint : You have the right to lodge a complaint about Company  s practices with respect to your Personal Data with the supervisory authority of your country or EU Member State .	NaN	NaN	NaN	NaN
( 2 ) Right to lodge a complaint with a supervisory authority ( a supervisory authority is a state authority in your country which supervises the compliance with GDPR by legal and natural persons that process personal data of data subjects ) ;	NaN	NaN	NaN	NaN
We remind European users that they have a right to lodge a complaint with a European Data Protection Supervisor .	['lodge']	['a complaint', 'a right']	NaN	['a European Data Protection Supervisor']
How Can I Lodge a Complaint	NaN	NaN	NaN	NaN
We are committed to investigating and resolving complaints about our collection or use of your personal information .	NaN	NaN	NaN	NaN
To make a complaint , contact us at en_dataprotection@trip.com .	NaN	['a complaint']	['contact']	['en_dataprotection@trip.com']
You also have the right to lodge a complaint with a supervisory authority about our processing of your personal data ( for example for Berlin at the Berliner Beauftragte fr Datenschutz und Informationsfreiheit , email : mailbox@datenschutz-berlin.de ) .	['lodge']	['a complaint', 'the right']	NaN	['mailbox@datenschutz-berlin.de']
If you do not agree with the way we have processed your data or responded to your concerns , an alternative is to submit a complaint to a Data Protection Supervisory Authority .	NaN	NaN	NaN	NaN
Users in the EU also have the right to file a complaint relating to Uber 's handling of your personal information with the Autoriteit Persoonsgegevens , the Dutch Data Protection Authority .	NaN	['a complaint', 'the right']	NaN	['the Autoriteit Persoonsgegevens','the Dutch Data Protection Authority']
The right to complain to a data protection authority about our collection and use of your personal information .	NaN	NaN	NaN	NaN
You always have the right to lodge a complaint with the relevant authority in particular where you live , work or where an alleged infringement of the GDPR has occurred .	NaN	NaN	NaN	NaN
Right to Make Complaint : if you consider that our processing of your personal data infringes data protection laws , you have a legal right to lodge a complaint with a supervisory authority responsible for data protection .	NaN	NaN	NaN	NaN
lodge a complaint with national data protection authorities regarding our processing of your personal data .	NaN	NaN	NaN	NaN
Contacting Us and Making a Complaint	NaN	NaN	NaN	NaN
If you are not satisfied with our response or you believe our use of your information does not comply with data protection law , you can make a complaint to the relevant privacy regulator .	NaN	NaN	NaN	NaN
You have the right to lodge a complaint with data protection regulators .	NaN	NaN	NaN	NaN
In addition to the above-mentioned rights , you also have the right to lodge a complaint with a competent supervisory authority subject to applicable law .	NaN	NaN	NaN	NaN
If you wish to raise a concern about our use of your information ( and without prejudice to any other rights you may have ) , you have the right to do so with your local supervisory authority or Twitter International Company  s lead supervisory authority , the Irish Data Protection Commission	NaN	['the right']	NaN	['the Irish Data Protection Commission']
If you have a Privacy Shield-related complaint , please contact us here	NaN	NaN	NaN	NaN
As part of our participation in Privacy Shield , if you have a dispute with us about our adherence to the Principles , we will seek to resolve it through our internal complaint resolution process , alternatively through the independent dispute resolution body JAMS , and under certain conditions , through the Privacy Shield arbitration process .	NaN	NaN	NaN	NaN
Accountability : In certain countries , including in the European Union , you have a right to lodge a complaint with the appropriate data protection authority if you have concerns about how we process your personal information	NaN	NaN	NaN	NaN
Right to lodge a complaint with a supervisory authority	NaN	NaN	NaN	NaN
If you are unsatisfied with the way we treat your Personal Data , you may reach out to us at all times to solve the issue	NaN	NaN	NaN	NaN
However , you always have the right to lodge a complaint with a supervisory authority .	NaN	NaN	NaN	NaN
You have a right to lodge a complaint with your local data protection supervisory authority ( i.e. , your place of habitual residence , place or work or place of alleged infringement ) at any time .	NaN	NaN	NaN	NaN
We ask that you please attempt to resolve any issues with us before you contact your local supervisory authority	NaN	NaN	NaN	NaN
We hope to promptly resolve any complaint brought to our attention , however if you feel that your complaint has not been adequately resolved , you may always contact your local data protection supervisory authority , a list of which is available here : edpb.europa.eu/about-edpb/board/members_en .	NaN	['your complaint']	NaN	['edpb.europa.eu/about-edpb/board/members_en']
You may also have the right to make a GDPR complaint to the relevant Supervisory Authority	NaN	NaN	NaN	NaN
If you do not receive timely acknowledgement of your complaint , or if your complaint is not satisfactorily addressed , please visit -URL- for more information and to file a complaint	NaN	['your complaint']	['visit']	['-URL-']
The services of BBB EU PRIVACY SHIELD are provided at no cost to you .	NaN	NaN	NaN	NaN
the existence of a right to lodge a complaint with a supervisory authority ;	NaN	NaN	NaN	NaN
