sentence,accessNouns,rightNouns,rightVerbs,accessVerbs,rightObject,accessPrep
if you have any questions related to data protection or if you wish to exercise your rights please contact email or the address stated above adding the keyword data protection,"['email', 'the address']",your rights,exercise,nah,,
you can edit or delete your data at any time,nah,nah,nah,nah,,
you can disable the sharing of you position at any time by adapting your browser settings accordingly,your browser settings,nah,disable,nah,you position,
you can object to this use at any time which will result in you being deleted from our email list,nah,nah,nah,nah,,
right to rectify,nah,nah,nah,nah,,
according to article 16 of the general data protection regulation gdpr you are entitled to demand of us to rectify any incorrect personal data concerning you with no delay,nah,nah,nah,nah,,
right to erasure,nah,nah,nah,nah,,
you have the right to demand of us to delete your personal data with no delay,nah,nah,nah,nah,,
right to restrict the processing,nah,nah,nah,nah,,
according to article 18 of the general data protection regulation gdpr you are entitled to demand of us to limit the processing of your personal data provided certain preconditions are met,nah,nah,nah,nah,,
according to article 20 of the general data protection regulation gdpr you are entitled to receive your personal data you have provided to us in a structured established and machinereadable format,nah,nah,nah,nah,,
you are also entitled to transfer the data to another responsible party without any hinderance from our side provided the processing is based on any agreement based on article 6 paragraph 1 letter a or article 9 paragraph 2 letter a or on a contract according to article 6 paragraph 1 letter b and the transfer is done via automated tools,nah,nah,nah,nah,,
right to object,nah,nah,nah,nah,,
according to article 21 of the general data protection regulation gdpr you are entitled to object against your personal datas processing based on article 6 paragraph e or f of the general data protection regulation gdpr,nah,nah,nah,nah,,
if we are processing your personal data for direct advertisement you have the right to object to the processing of your personal data for the use of such advertisement at any time,nah,nah,nah,nah,,
if you would like to exercise any of the rights you are entitled to please contact us as the responsible party via the contact data given above or use any of the other ways of contact provided to notify us,contact data,the rights,exercise,contact,,via
according to article 77 of the general data protection regulation gdpr you are entitled to the right of appeal to the supervisory authority without prejudice to any wider administrative or judicial remedy,the supervisory authority,the right,nah,nah,,
you have the right to request to review correct update or delete inaccuracies to certain information about you that we keep on file by logging into your account to update your relevant information,your account,['inaccuracies'],"['correct','delete']",log,certain information,
additionally you also have the right to data portability if it should become relevant and required by applicable laws,nah,nah,nah,nah,,
you have a right to ask us to stop using or limit our use of your personal information in certain circumstances,nah,nah,nah,nah,,
in addition to those rights you have the right to lodge a complaint with relevant supervisory authorities,relevant supervisory authorities,a complaint,lodge,nah,,
if you have any questions about this privacy policy or your rights under applicable data protection law you can contact our customer service at 8 temasek boulevard 0805 suntec tower three singapore 038988,"['8 temasek boulevard 0805 suntec tower', 'our customer service']",your rights,nah,contact,,
for additional questions contact us at support infinitygamesio,nah,nah,nah,nah,,
right to correct your data in accordance with art,nah,nah,nah,nah,,
right to have your data deleted in accordance with art,nah,nah,nah,nah,,
you can contact us if you want us to delete certain data that we have stored about you please load terms privacy from your game settings and follow instructions in section request personal data to be removed in privacy policy available to eeabased users only,nah,nah,nah,nah,,
right to limit data collection in accordance with art,nah,nah,nah,nah,,
right to take your data with you in accordance with art,nah,nah,nah,nah,,
right to object how your data is handled in accordance with art,nah,nah,nah,nah,,
right to send complaints to the supervisory authority in accordance with art,the supervisory authority,complaints,nah,nah,,
the most current version of the privacy policy will govern our use of your information and will be available at url for previous versions of this privacy policy please contact us via support infinitygamesio,nah,nah,nah,nah,,
if you have questions or concerns about this privacy policy please contact us through one of the following ways,nah,nah,nah,nah,,
for privacy questions and exercising your rights via our privacy email support infinitygamesio,nah,nah,nah,nah,,
for more information on which authority to contact please email us here support infinitygamesio,nah,nah,nah,nah,,
for general information please feel free to contact us via our contact service page url contact,nah,nah,nah,nah,,
right to access you have the right to access and a request a copy of your data which have been gathered,nah,nah,nah,nah,,
right to rectification you have the right to modify and update your personal data when incorrect data are being used,nah,nah,nah,nah,,
right to removal you have the right to delete all personal data that have been gathered,nah,nah,nah,nah,,
right to restriction your have the right to prevent a company from processing certain types of personal data,nah,nah,nah,nah,,
right to portability of the data you have the right access your personal data and transfer them to other data controllers,nah,nah,nah,nah,,
right to oppose you have the right to withdraw your consent to the processing of your data for public interest marketing or research,nah,nah,nah,nah,,
right to reject automatic decisions you have the right to oppose your data from being processed by automatic systems,nah,nah,nah,nah,,
you may submit any of the requests described above by contacting us support iterationmobilecom,nah,nah,nah,nah,,
if you have any question regarding the terms of use or the privacy policy you may contact us by support iterationmobilecom,nah,nah,nah,nah,,
owner contact email email,nah,nah,nah,nah,,
therefore the right to access the right to erasure the right to rectification and the right to data portability can not be enforced after expiration of the retention period,nah,nah,nah,nah,,
users have the right to object to the processing of their data if the processing is carried out on a legal basis other than consent,nah,nah,nah,nah,,
further details are provided in the dedicated section below,nah,nah,nah,nah,,
users have the right to learn if data is being processed by the owner obtain disclosure regarding certain aspects of the processing and obtain a copy of the data undergoing processing,nah,nah,nah,nah,,
users have the right to verify the accuracy of their data and ask for it to be updated or corrected,nah,nah,nah,nah,,
users have the right under certain circumstances to restrict the processing of their data,nah,nah,nah,nah,,
have their personal data deleted or otherwise removed,nah,nah,nah,nah,,
users have the right under certain circumstances to obtain the erasure of their data from the owner,nah,nah,nah,nah,,
users have the right to receive their data in a structured commonly used and machine readable format and if technically feasible to have it transmitted to another controller without any hindrance,nah,nah,nah,nah,,
users have the right to bring a claim before their competent data protection authority,nah,nah,nah,nah,,
details about the right to object to processing,nah,nah,nah,nah,,
users must know that however should their personal data be processed for direct marketing purposes they can object to that processing at any time without providing any justification,nah,nah,nah,nah,,
we have appointed an external data protection officer dpo who is responsible for overseeing questions in relation to this privacy policy,nah,nah,nah,nah,,
if you have any questions about this privacy policy including any requests to exercise your legal rights please contact the external dpo using the details set out below,the external dpo,your legal rights,exercise,nah,,
full name of legal entity jagex limited,nah,nah,nah,nah,,
