NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
browser setting	0.007363770250368188	general data protection regulation	0.003681885125184094	adapt	0.004418262150220913	browser	0.05154639175257732
time	0.203240058910162	gdpr	0.048600883652430045	disable	0.019882179675994108	position	0.005154639175257732
sharing	0.0066273932253313695	jaumos	0.003681885125184094	delete	0.03608247422680412	disable	0.020618556701030927
position	0.005154639175257732	article	0.025036818851251842	result	0.005154639175257732	sharing	0.010309278350515464
email list	0.003681885125184094	google analytics	0.005891016200294551	object	0.4992636229749632	setting	0.05154639175257732
use	0.09646539027982327	flurry analytics	0.0029455081001472753	base	0.08394698085419734	accordingly	0.010309278350515464
data processing	0.0066273932253313695	mopubs	0.003681885125184094	entitle	0.009572901325478646	time	0.20103092783505155
paragraph e	0.0029455081001472753	european economic area	0.011045655375552283	accord	0.004418262150220913	adapt	0.005154639175257732
article	0.021354933726067747	united kingdom	0.007363770250368188	limit	0.015463917525773196	delete	0.041237113402061855
f	0.020618556701030927	switzerland	0.010309278350515464	ask	0.07952871870397643	email	0.020618556701030927
information	0.24521354933726067	mopub partners	0.003681885125184094	stop	0.030927835051546393	use	0.20103092783505155
right	0.4698085419734904	united states	0.003681885125184094	oppose	0.01914580265095729	list	0.005154639175257732
circumstance	0.04639175257731959	paypal	0.003681885125184094	withdraw	0.07511045655375552	object	0.6082474226804123
interest marketing	0.003681885125184094	digital advertising alliances	0.003681885125184094	process	0.16863033873343153	result	0.005154639175257732
research	0.0066273932253313695	personal	0.021354933726067747	reject	0.009572901325478646	gdpr	0.061855670103092786
datum	0.3755522827687776	privacy policy	0.0029455081001472753	carry	0.019882179675994108	regulation	0.005154639175257732
processing	0.43888070692194403	overmobile	0.003681885125184094	provide	0.03460972017673049	data	0.061855670103092786
consent	0.11634756995581738	gdpr article	0.0029455081001472753	know	0.020618556701030927	protection	0.010309278350515464
system	0.005154639175257732	legal	0.0029455081001472753	make	0.007363770250368188	processing	0.4742268041237113
decision	0.016200294550810016	privacy protection department	0.003681885125184094	feel	0.005154639175257732	base	0.10824742268041238
basis	0.05154639175257732	netmarble	0.005154639175257732	want	0.02577319587628866	general	0.015463917525773196
user	0.053019145802650956	icbc mobile banking	0.003681885125184094	impact	0.005154639175257732	article	0.04639175257731959
detail	0.019882179675994108	personal data	0.003681885125184094	rely	0.009572901325478646	personal	0.4690721649484536
section	0.03240058910162003	eu	0.01914580265095729	permit	0.016936671575846832	21	0.03608247422680412
marketing purpose	0.054491899852724596	section ii.i.1.d	0.0029455081001472753	send	0.020618556701030927	entitle	0.010309278350515464
personal datum	0.0029455081001472753	uber	0.004418262150220913	cancel	0.005154639175257732	accord	0.005154639175257732
justification	0.005154639175257732	personal information	0.0022091310751104565	wish	0.010309278350515464	paragraph	0.010309278350515464
freedom	0.02577319587628866	twitter	0.003681885125184094	restrict	0.048600883652430045	limit	0.015463917525773196
interest	0.11119293078055964	advertising id	0.003681885125184094	process pende	0.0029455081001472753	right	0.5103092783505154
