NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
browser setting	0.0019357336430507162	general data protection regulation	0.0032262227384178602	adapt	0.0007742934572202865	browser	0.011743450767841012
time	0.09781907342882952	gdpr	0.04000516195638147	disable	0.00438766292424829	position	0.0009033423667570009
sharing	0.0023228803716608595	data	0.018195896244676733	delete	0.1503419796102723	disable	0.004516711833785004
position	0.0009033423667570009	personal	0.030584591560201317	result	0.0009033423667570009	sharing	0.0036133694670280035
email list	0.0006452445476835721	information commissioners office	0.0019357336430507162	object	0.1055620080010324	setting	0.06413730803974707
use	0.04787714543812105	uk	0.0023228803716608595	concern	0.030326493741127888	accordingly	0.0027100271002710027
delay	0.009807717124790295	ico	0.004258614014711576	rectify	0.022712608078461736	time	0.0948509485094851
datum	0.33914053426248547	article	0.021809265711704735	entitle	0.0134210865918183	adapt	0.0009033423667570009
article	0.014840624596722158	member state	0.0029681249193444317	demand	0.007742934572202865	delete	0.16621499548328816
right	0.4027616466640857	union	0.0032262227384178602	accord	0.005291005291005291	email	0.06052393857271906
processing	0.17228029423151375	jaumo	0.0019357336430507162	restrict	0.052522906181442765	use	0.14092140921409213
pre	0.0007742934572202865	para	0.0009033423667570009	meet	0.0036133694670280035	list	0.004516711833785004
condition	0.005936249838688863	jaumos	0.0006452445476835721	provide	0.09833526906697639	object	0.12737127371273713
letter b	0.0005161956381468576	eea	0.005032907471931862	limit	0.016260162601626018	result	0.0018066847335140017
paragraph	0.003097173828881146	id	0.0014195380049038585	base	0.029681249193444316	gdpr	0.04787714543812105
tool	0.005936249838688863	account	0.004129565105174861	transfer	0.012904890953671441	regulation	0.005420054200542005
transfer	0.0036133694670280035	lingodeer	0.0012904890953671442	update	0.049554781262098335	rectify	0.028906955736224028
party	0.012904890953671441	livu	0.001548586914440573	log	0.014711575687185443	data	0.15718157181571815
hinderance	0.0018066847335140017	profile	0.0029681249193444317	review	0.015873015873015872	incorrect	0.013550135501355014
agreement	0.0016776358239772875	privacy laws	0.0005161956381468576	request	0.1654407020260679	concern	0.04155374887082204
contract	0.007484836753129436	metros privacy officer	0.0006452445476835721	require	0.018583042973286876	16	0.005420054200542005
data processing	0.0018066847335140017	personal data	0.01664730933023616	ask	0.07588075880758807	demand	0.013550135501355014
paragraph e	0.0005161956381468576	mobisystems inc	0.0005161956381468576	stop	0.01084010840108401	article	0.03523035230352303
f	0.0036133694670280035	google analytics	0.0010323912762937152	lodge	0.04787714543812105	protection	0.051490514905149054
remedy	0.0018066847335140017	flurry analytics	0.0005161956381468576	access	0.09962575816234352	entitle	0.013550135501355014
authority	0.052393857271906055	mopubs	0.0006452445476835721	gather	0.0019357336430507162	datum	0.37037037037037035
prejudice	0.0036133694670280035	european economic area	0.0038714672861014324	modify	0.021164021164021163	personal	0.5230352303523035
appeal	0.0009033423667570009	united kingdom	0.0019357336430507162	process	0.09226997031875081	general	0.008130081300813009
update	0.016260162601626018	switzerland	0.0027100271002710027	prevent	0.00877532584849658	delay	0.009033423667570008
information	0.32830042586140146	mopub partners	0.0006452445476835721	oppose	0.005678152019615434	accord	0.005420054200542005
file	0.0020647825525874305	united states	0.0012904890953671442	withdraw	0.025551684088269456	right	0.4254742547425474
inaccuracy	0.009807717124790295	advertising demand partner	0.0012904890953671442	reject	0.0016776358239772875	restrict	0.06323396567299007
account	0.08078461736998323	publisher partner	0.0011614401858304297	enforce	0.0018066847335140017	processing	0.1878952122854562
data portability	0.017034456058846303	carly solutions gmbh co kg	0.0006452445476835721	erasure	0.005420054200542005	limit	0.018066847335140017
law	0.029423151374370887	paypal	0.0006452445476835721	carry	0.00877532584849658	provide	0.1002710027100271
circumstance	0.03587559685120661	digital advertising alliances	0.0006452445476835721	obtain	0.03148793392695832	condition	0.006323396567299007
complaint	0.07923603045554264	flow	0.0006452445476835721	learn	0.0036133694670280035	certain	0.06413730803974707
addition	0.010969157310620726	privacy policy	0.006581494386372435	undergo	0.004258614014711576	pre	0.0009033423667570009
accordance	0.028648857917150602	terms	0.0018066847335140017	correct	0.07136404697380307	meet	0.0036133694670280035
art	0.012775842044134728	r2games	0.0007742934572202865	verify	0.00993676603432701	18	0.01084010840108401
data collection	0.0006452445476835721	supervisory authority autoriteit persoonsgegevens	0.0006452445476835721	remove	0.02568073299780617	contract	0.00993676603432701
copy	0.06878306878306878	personal data protection commission	0.0006452445476835721	receive	0.04245709123757904	transfer	0.016260162601626018
rectification	0.029294102464834174	singapore	0.0009033423667570009	transmit	0.019744483159117306	responsible	0.007226738934056007
removal	0.0024519292811975737	personal information	0.008646276938959866	bring	0.001548586914440573	agreement	0.0018066847335140017
type	0.004516711833785004	tandem	0.0014195380049038585	know	0.009678668215253582	automated	0.0018066847335140017
company	0.005678152019615434	tandems	0.0006452445476835721	enable	0.009807717124790295	letter	0.0018066847335140017
restriction	0.03122983610788489	game	0.0012904890953671442	hold	0.06258872112530649	tool	0.007226738934056007
data controller	0.008517228029423151	thomson reuters	0.0005161956381468576	check	0.0036133694670280035	paragraph	0.0036133694670280035
portability	0.01600206478255259	account settings	0.0011614401858304297	continue	0.006194347657762292	hinderance	0.0009033423667570009
interest marketing	0.0006452445476835721	netherlands data authority	0.0006452445476835721	comply	0.00787198348173958	base	0.02981029810298103
research	0.002193831462124145	eu	0.00761388566266615	exercise	0.02155116789263131	party	0.00993676603432701
consent	0.0438766292424829	mobile war	0.0011614401858304297	erase	0.03535940121305975	21	0.006323396567299007
system	0.009678668215253582	sns	0.001548586914440573	make	0.011356304039230868	authority	0.07317073170731707
decision	0.005291005291005291	facebook	0.002839076009807717	feel	0.0027100271002710027	appeal	0.0009033423667570009
retention period	0.0012904890953671442	personal data request portal	0.0012904890953671442	want	0.0277455155503936	judicial	0.0018066847335140017
expiration	0.0009033423667570009	authority	0.003355271647954575	impact	0.0009033423667570009	supervisory	0.05420054200542006
basis	0.01638921151116273	protection	0.006194347657762292	rely	0.00438766292424829	77	0.0027100271002710027
user	0.04245709123757904	personal information protection act	0.0006452445476835721	use	0.03974706413730804	administrative	0.0027100271002710027
detail	0.0134210865918183	llc	0.0014195380049038585	override	0.008904374758033295	prejudice	0.0036133694670280035
section	0.02606787972641631	webmartgroup	0.001548586914440573	suspend	0.0018066847335140017	remedy	0.0009033423667570009
aspect	0.0009033423667570009	data protection authority	0.0007742934572202865	establish	0.0018066847335140017	wide	0.0009033423667570009
disclosure	0.006839592205445864	overmobile	0.0014195380049038585	need	0.012517744225061299	update	0.08130081300813008
owner	0.0025809781907342884	app	0.0006452445476835721	collect	0.03445605884630275	account	0.11653116531165311
data	0.05355529745773648	eu member state	0.0011614401858304297	assert exercise	0.0005161956381468576	information	0.3866305329719964
accuracy	0.013679184410891727	carx technologies limited	0.0006452445476835721	defend	0.0018066847335140017	inaccuracy	0.00993676603432701
