NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
right	0.4258423428151569	gdpr	0.0445050907945838	request	0.155872782617823	personal	0.5099191770756797
datum	0.3373569854098877	personal	0.029075259787971	delete	0.1475805605122284	right	0.455547391623806
information	0.3299044819985305	article	0.0254014905006822	object	0.1066442741681536	information	0.3842762674504041
processing	0.1763409257898604	data	0.017319198068647	provide	0.0985619817361184	datum	0.3681116825863336
time	0.0881704628949302	personal data	0.0154298310066127	access	0.0925789860396767	request	0.2013225569434239
complaint	0.0837619397501836	personal information	0.0079773275952555	process	0.0904796893040831	processing	0.1903012490815576
account	0.0733704209089954	protection	0.0071376089010181	ask	0.069906581295266	delete	0.1638501102130786
copy	0.0712711241734019	eu	0.0070326440642384	correct	0.0650781988034008	access	0.1631153563556208
authority	0.0598299569644169	information	0.0070326440642384	restrict	0.0628739372310276	data	0.1535635562086701
access	0.0536370315944158	privacy policy	0.005878030859662	hold	0.0619292537000105	use	0.1425422483468038
service	0.0529022777369581	eea	0.0053532066757636	contact	0.0567859766978062	object	0.1396032329169728
use	0.0511178755117035	general data protection regulation	0.0052482418389839	lodge	0.0529022777369581	process	0.1087435709037472
data	0.0508029810013645	privacy	0.0049333473286449	update	0.0492285084496693	account	0.1058045554739162
consent	0.0416710402015324	uber	0.0044085231447465	receive	0.0432455127532276	provide	0.1013960323291697
user	0.0387320247717014	european economic area	0.0041985934711871	use	0.0420908995486512	correct	0.0947832476120499
format	0.0364227983625485	switzerland	0.0036737692872887	change	0.0413561456911934	complaint	0.0867009551800147
machine	0.0364227983625485	account	0.003568804450509	erase	0.035268185157972	time	0.0859662013225569
request	0.0363178335257688	authority	0.003568804450509	collect	0.0307546971764458	authority	0.0822924320352681
purpose	0.0354781148315314	office	0.003568804450509	base	0.0294951191350897	update	0.0808229243203526
restriction	0.0324341345649207	ico	0.0034638396137294	obtain	0.0286554004408523	restrict	0.0734753857457751
setting	0.0307546971764458	member state	0.00325390994017	want	0.0275007872362758	ask	0.0720058780308596
accordance	0.0306497323396662	doubleugames	0.00325390994017	concern	0.0270809278891571	copy	0.0720058780308596
circumstance	0.0299149784822084	state	0.0031489451033903	include	0.0263461740316993	contact	0.0675973548861131
ground	0.0299149784822084	twitter	0.0030439802666106	remove	0.0258213498478009	hold	0.0646583394562821
erasure	0.0296000839718694	google	0.002939015429831	rectify	0.0249816311535635	certain	0.0631888317413666
interest	0.0296000839718694	policy	0.002939015429831	withdraw	0.0227773695811903	lodge	0.0624540778839088
law	0.0284454707672929	union	0.0026241209194919	store	0.0215177915398341	service	0.0624540778839088
rectification	0.0249816311535635	united kingdom	0.0026241209194919	relate	0.020888002519156	supervisory	0.0609845701689933
deletion	0.0249816311535635	duolingo	0.0026241209194919	wish	0.0206780728455967	setting	0.0587803085966201
controller	0.0237220531122074	european	0.0025191560827122	send	0.020573108008817	protection	0.0565760470242468
section	0.0233021937650886	profile	0.0024141912459326	transmit	0.0196284244777999	change	0.0536370315944158
object	0.0207830376823764	facebook	0.0023092264091529	exercise	0.0188936706203421	gdpr	0.0521675238795003
