	KeyBert	KeyBert_Freq	TextRank_NOUN	TextRank_NOUN_Freq	TextRank_PROPN	TextRank_PROPN_Freq	TextRank_VERB	TextRank_VERB_Freq	SingleRank_NOUN	SingleRank_NOUN_Freq	SingleRank_PROPN	SingleRank_PROPN_Freq	SingleRank_VERB	SingleRank_VERB_Freq	PositionRank_NOUN	PositionRank_NOUN_Freq	PositionRank_PROPN	PositionRank_PROPN_Freq	PositionRank_VERB	PositionRank_VERB_Freq	MultipartiteRank	MultipartiteRank_Freq	Yake_NOUN	Yake_NOUN_Freq	Yake_PROPN	Yake_PROPN_Freq	Yake_VERB	Yake_VERB_Freq	sCAKE_NOUN	sCAKE_NOUN_Freq	sCAKE_PROPN	sCAKE_PROPN_Freq	sCAKE_VERB	sCAKE_VERB_Freq	SGRank_NOUN	SGRank_NOUN_Freq	SGRank_PROPN	SGRank_PROPN_Freq	SGRank_VERB	SGRank_VERB_Freq
0	contact	513	question	252.0	privacy policy	118.0	contact	491.0	question	252.0	privacy policy	118.0	contact	491.0	question	252.0	privacy policy	118.0	contact	491.0	contact	460.0	question	287.0	privacy	154.0	contact	488.0	question	176.0	data protection officer	23.0	contact	175.0	question	250.0	privacy	146.0	contact	308.0
1	email	427	information	140.0	data protection officer	23.0	send	56.0	information	140.0	data protection officer	23.0	send	56.0	information	140.0	data protection officer	23.0	send	56.0	question	216.0	information	167.0	policy	132.0	send	56.0	information	124.0	privacy policy	20.0	exercise	39.0	information	161.0	policy	127.0	exercise	53.0
2	question	285	email	85.0	privacy	10.0	exercise	55.0	email	90.0	privacy	10.0	exercise	55.0	email	92.0	privacy	10.0	exercise	55.0	privacy policy	146.0	email	102.0	data	48.0	exercise	55.0	email	65.0	united kingdom	5.0	like	38.0	email	96.0	data	45.0	provide	46.0
3	privacy	226	right	64.0	data protection	7.0	provide	46.0	right	64.0	data protection	7.0	provide	46.0	right	64.0	data protection	7.0	provide	46.0	email	129.0	privacy	93.0	protection	40.0	provide	46.0	concern	55.0	netherlands	4.0	wish	37.0	privacy	92.0	protection	40.0	send	44.0
4	policy	204	-email-	61.0	california	6.0	email	44.0	concern	58.0	california	6.0	email	44.0	concern	58.0	california	6.0	email	44.0	information	122.0	datum	81.0	officer	31.0	email	44.0	datum	51.0	office	4.0	send	35.0	datum	78.0	officer	30.0	wish	40.0
5	information	171	concern	58.0	policy	6.0	wish	40.0	request	58.0	policy	6.0	wish	40.0	request	58.0	policy	6.0	wish	40.0	use	81.0	policy	78.0	limited	13.0	wish	40.0	request	49.0	united states	4.0	provide	34.0	policy	78.0	limited	13.0	believe	40.0
6	personal	119	request	58.0	data	5.0	believe	40.0	datum	57.0	data	5.0	believe	40.0	datum	57.0	data	5.0	believe	40.0	request	59.0	concern	70.0	street	13.0	believe	40.0	right	45.0	gdpr	4.0	believe	32.0	concern	70.0	support	12.0	like	39.0
7	use	97	datum	57.0	united kingdom	5.0	like	39.0	-email-	51.0	united kingdom	5.0	like	39.0	-email-	51.0	united kingdom	5.0	like	39.0	datum	55.0	-email-	69.0	support	12.0	like	39.0	-email-	41.0	european economic area	3.0	want	24.0	request	64.0	street	12.0	email	39.0
8	data	94	policy	44.0	eu	5.0	write	29.0	policy	44.0	eu	5.0	write	29.0	policy	44.0	eu	5.0	write	29.0	exercise	54.0	request	68.0	london	11.0	write	29.0	child	37.0	efta states	3.0	email	23.0	-email-	62.0	london	11.0	write	27.0
9	request	82	child	43.0	european union	5.0	want	25.0	child	43.0	european union	5.0	want	25.0	child	43.0	european union	5.0	want	25.0	send	52.0	right	67.0	games	11.0	want	25.0	policy	31.0	barbara strozzilaan	3.0	delete	21.0	right	60.0	games	11.0	want	25.0
10	concern	80	address	32.0	gdpr	5.0	use	23.0	address	32.0	gdpr	5.0	use	23.0	address	32.0	gdpr	5.0	use	23.0	concern	46.0	address	60.0	ltd	10.0	delete	24.0	privacy policy	30.0	san francisco	3.0	collect	20.0	address	55.0	ltd	10.0	delete	24.0
11	datum	79	privacy policy	30.0	dpo	4.0	delete	22.0	privacy policy	30.0	dpo	4.0	delete	22.0	privacy policy	30.0	dpo	4.0	delete	22.0	data protection officer	44.0	data	52.0	california	9.0	use	22.0	age	29.0	zuuks games	3.0	use	19.0	data	52.0	united	9.0	use	22.0
12	regard	79	service	29.0	netherlands	4.0	feel	20.0	mail	30.0	netherlands	4.0	feel	20.0	service	29.0	netherlands	4.0	feel	20.0	right	42.0	practice	46.0	united	9.0	collect	22.0	service	27.0	eu	3.0	write	19.0	practice	46.0	european	8.0	collect	22.0
13	address	72	age	29.0	office	4.0	collect	20.0	service	29.0	office	4.0	collect	20.0	age	29.0	office	4.0	collect	20.0	child	42.0	child	44.0	information	9.0	feel	20.0	use	25.0	california	3.0	receive	17.0	child	44.0	information	8.0	feel	20.0
14	protection	70	use	27.0	united states	4.0	reach	19.0	age	29.0	united states	4.0	reach	19.0	mail	28.0	united states	4.0	reach	19.0	believe	40.0	service	43.0	customer	8.0	reach	19.0	address	24.0	privacy statement	3.0	process	14.0	service	43.0	customer	7.0	receive	18.0
15	right	66	mail	25.0	u.s.-based	3.0	request	18.0	use	27.0	u.s.-based	3.0	request	18.0	use	27.0	u.s.-based	3.0	request	18.0	policy	40.0	contact	42.0	european	8.0	receive	18.0	time	22.0	european union	3.0	know	13.0	contact	42.0	uk	7.0	request	18.0
16	officer	61	time	24.0	european economic area	3.0	receive	17.0	time	24.0	european economic area	3.0	receive	17.0	time	24.0	european economic area	3.0	receive	17.0	wish	39.0	comment	42.0	services	8.0	request	18.0	complaint	22.0	platform	3.0	include	11.0	comment	41.0	services	7.0	process	18.0
17	send	56	complaint	23.0	efta states	3.0	find	16.0	complaint	23.0	efta states	3.0	find	16.0	complaint	23.0	efta states	3.0	find	16.0	like	38.0	protection	33.0	eu	8.0	process	18.0	privacy	21.0	privacy center	3.0	hold	11.0	use	34.0	california	7.0	relate	14.0
18	exercise	52	comment	21.0	barbara strozzilaan	3.0	process	16.0	comment	21.0	barbara strozzilaan	3.0	process	16.0	comment	21.0	barbara strozzilaan	3.0	process	16.0	address	38.0	officer	31.0	uk	7.0	find	16.0	mail	19.0	privacy	2.0	update	11.0	protection	33.0	states	6.0	follow	14.0
19	provide	46	privacy	21.0	-emailor	3.0	relate	14.0	privacy	21.0	-emailor	3.0	relate	14.0	privacy	21.0	-emailor	3.0	relate	14.0	provide	31.0	mail	30.0	states	6.0	relate	14.0	data protection officer	18.0	paris france	2.0	request	11.0	age	30.0	inc.	6.0	know	14.0
20	service	46	practice	19.0	san francisco	3.0	know	14.0	practice	19.0	san francisco	3.0	know	14.0	practice	19.0	san francisco	3.0	know	14.0	age	28.0	age	30.0	europe	6.0	follow	14.0	practice	18.0	hn amsterdam	2.0	share	11.0	complaint	27.0	llc	6.0	include	12.0
21	practice	46	data protection officer	18.0	privacy notice	3.0	follow	12.0	data protection officer	18.0	privacy notice	3.0	follow	12.0	data protection officer	18.0	privacy notice	3.0	follow	12.0	write	26.0	detail	29.0	inc.	6.0	know	14.0	privacy practice	18.0	w 44th street new york ny	2.0	let	10.0	detail	26.0	eu	6.0	address	12.0
22	mail	45	website	18.0	zuuks games	3.0	include	12.0	website	18.0	zuuks games	3.0	include	12.0	website	18.0	zuuks games	3.0	include	12.0	question regard	25.0	use	28.0	llc	6.0	include	13.0	section	17.0	interactive	2.0	remove	9.0	mail	26.0	center	6.0	hold	11.0
23	child	44	contact detail	18.0	privacy statement	3.0	update	12.0	contact detail	18.0	privacy statement	3.0	update	12.0	contact detail	18.0	privacy statement	3.0	update	12.0	e-mail	24.0	complaint	27.0	center	6.0	update	12.0	question comment	17.0	usa	2.0	resolve	9.0	support	26.0	san	5.0	update	11.0
24	comment	42	privacy practice	18.0	support center	3.0	address	12.0	privacy practice	18.0	support center	3.0	address	12.0	privacy practice	18.0	support center	3.0	address	12.0	want	24.0	support	26.0	dpo	5.0	address	12.0	comment	16.0	thomson reuters	2.0	learn	9.0	party	25.0	kingdom	5.0	learn	11.0
25	wish	40	suggestion	17.0	ico	3.0	hold	11.0	suggestion	17.0	ico	3.0	hold	11.0	suggestion	17.0	ico	3.0	hold	11.0	service	23.0	party	25.0	san	5.0	hold	11.0	website	15.0	uk limited	2.0	relate	8.0	officer	25.0	francisco	5.0	share	11.0
26	believe	40	section	17.0	headspace	3.0	resolve	11.0	section	17.0	headspace	3.0	resolve	11.0	section	17.0	headspace	3.0	resolve	11.0	time	22.0	time	25.0	kingdom	5.0	resolve	11.0	party	14.0	professional	2.0	follow	8.0	time	25.0	union	5.0	resolve	10.0
