NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
remedy	0.01818181818181818	general data protection regulation	0.006493506493506494	entitle	0.015584415584415584	gdpr	0.09090909090909091
authority	0.5181818181818182	gdpr	0.07532467532467532	accord	0.006493506493506494	regulation	0.00909090909090909
prejudice	0.03636363636363636	information commissioners office	0.01948051948051948	lodge	0.4649350649350649	authority	0.7272727272727273
article	0.00909090909090909	uk	0.023376623376623377	bring	0.015584415584415584	appeal	0.00909090909090909
appeal	0.00909090909090909	ico	0.04285714285714286	believe	0.05194805194805195	judicial	0.01818181818181818
right	0.6428571428571429	eea	0.01948051948051948	breach	0.007792207792207792	supervisory	0.5454545454545454
complaint	0.7857142857142857	member state	0.01038961038961039	reside	0.03506493506493506	77	0.02727272727272727
addition	0.01818181818181818	supervisory authority autoriteit persoonsgegevens	0.006493506493506494	contact	0.13766233766233765	administrative	0.01818181818181818
data protection authority	0.07792207792207792	personal data protection commission	0.006493506493506494	resolve	0.07662337662337662	right	0.6545454545454545
claim	0.00909090909090909	singapore	0.00909090909090909	use	0.00909090909090909	protection	0.38181818181818183
user	0.03636363636363636	personal	0.03896103896103896	situate	0.007792207792207792	article	0.02727272727272727
data protection issue	0.006493506493506494	thomson reuters	0.005194805194805195	file	0.045454545454545456	general	0.00909090909090909
time	0.06363636363636363	netherlands data authority	0.006493506493506494	send	0.006493506493506494	prejudice	0.03636363636363636
privacy right	0.006493506493506494	eu	0.03116883116883117	process	0.08571428571428572	entitle	0.01818181818181818
data protection	0.05714285714285714	privacy policy	0.01038961038961039	let	0.01818181818181818	data	0.35454545454545455
country	0.06363636363636363	european economic area	0.012987012987012988	know	0.01818181818181818	remedy	0.00909090909090909
option	0.007792207792207792	personal data	0.02077922077922078	receive	0.024675324675324677	wide	0.00909090909090909
residence place	0.012987012987012988	authority	0.033766233766233764	complain	0.06493506493506493	accord	0.00909090909090909
infringement	0.06363636363636363	protection	0.03896103896103896	consider	0.02727272727272727	complaint	0.8090909090909091
work	0.05454545454545454	data protection authority	0.007792207792207792	take	0.01818181818181818	relevant	0.10909090909090909
authoriy	0.00909090909090909	eu member state	0.011688311688311689	allege	0.03896103896103896	lodge	0.5545454545454546
existence	0.01818181818181818	information commissioner	0.01948051948051948	email	0.006493506493506494	addition	0.01818181818181818
accordance	0.01818181818181818	office	0.04415584415584416	manage	0.007792207792207792	claim	0.00909090909090909
art	0.01818181818181818	supervisory authority	0.01818181818181818	raise	0.024675324675324677	user	0.03636363636363636
datum	0.22987012987012986	medium	0.00909090909090909	describe	0.007792207792207792	competent	0.08181818181818182
way	0.07012987012987013	european data protection supervisor	0.006493506493506494	locate	0.006493506493506494	bring	0.01818181818181818
email	0.01948051948051948	berliner beauftragte	0.005194805194805195	like	0.007792207792207792	ico	0.05454545454545454
response	0.01818181818181818	informationsfreiheit	0.00909090909090909	carry	0.016883116883116882	commissioners	0.02727272727272727
data protection legislation	0.006493506493506494	datenschutz	0.007792207792207792	exercise	0.016883116883116882	url	0.02727272727272727
contradiction	0.00909090909090909	data protection supervisory authority	0.006493506493506494	wish	0.032467532467532464	uk	0.02727272727272727
data protection law	0.012987012987012988	dutch data protection authority	0.006493506493506494	supervise	0.01818181818181818	information	0.20909090909090908
