NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
datum	0.3373569854098877	general data protection regulation	0.00524824183898394	edit	0.0123858507400021	datum	0.3681116825863336
time	0.0881704628949302	gdpr	0.04450509079458381	delete	0.1475805605122284	delete	0.16385011021307863
browser setting	0.001574472551695182	privacy policy	0.005878030859662013	adapt	0.0006297890206780728	edit	0.020573108008817047
sharing	0.0018893670620342186	terms	0.002204261572373255	disable	0.0035688044505090793	time	0.08596620132255695
position	0.0007347538574577516	eea	0.005353206675763619	result	0.0007347538574577516	browser	0.009551800146950772
email list	0.000524824183898394	data	0.017319198068647002	object	0.10664427416815367	position	0.0007347538574577516
use	0.05111787551170358	personal	0.02907525978797103	rectify	0.024981631153563555	disable	0.0036737692872887582
right	0.4258423428151569	information commissioners office	0.001574472551695182	concern	0.02708092788915713	sharing	0.0029390154298310064
delay	0.011546132045764669	uk	0.0018893670620342186	entitle	0.014695077149155033	setting	0.05878030859662013
article	0.0158496903537315	ico	0.0034638396137294004	demand	0.008397186942374305	accordingly	0.0029390154298310064
erasure	0.029600083971869424	article	0.025401490500682272	accord	0.0073475385745775165	adapt	0.0007347538574577516
processing	0.1763409257898604	member state	0.003253909940170043	restrict	0.0628739372310276	email	0.050698016164584865
pre	0.0012595780413561456	union	0.00262412091949197	meet	0.0036737692872887582	use	0.14254224834680382
condition	0.005458171512543298	jaumo	0.001574472551695182	provide	0.0985619817361184	list	0.0036737692872887582
format	0.036422798362548546	para	0.0007347538574577516	limit	0.016059620027290857	object	0.13960323291697282
machine	0.036422798362548546	jaumos	0.000524824183898394	receive	0.04324551275322767	result	0.0014695077149155032
letter b	0.00041985934711871525	id	0.001154613204576467	base	0.029495119135089745	rectify	0.03159441587068332
paragraph	0.002834050593051328	account	0.0035688044505090793	transfer	0.011861026556103705	right	0.45554739162380603
tool	0.005563136349322977	data protection authority	0.001679437388474861	process	0.09047968930408314	gdpr	0.05216752387950037
transfer	0.0029390154298310064	personal data	0.015429831006612785	update	0.04922850844966936	regulation	0.008082292432035268
party	0.011965991392883384	lingodeer	0.001049648367796788	log	0.013960323291697281	data	0.1535635562086701
hinderance	0.0014695077149155032	livu	0.0012595780413561456	review	0.0158496903537315	incorrect	0.016164584864070537
agreement	0.0013645428781358245	profile	0.0024141912459326124	request	0.15587278261782303	concern	0.038941954445260836
contract	0.007242573737797838	privacy laws	0.00041985934711871525	require	0.016479479374409575	16	0.005878030859662013
object	0.020783037682376403	metros privacy officer	0.000524824183898394	ask	0.06990658129526608	demand	0.01322556943423953
data processing	0.0018893670620342186	mobisystems inc	0.00041985934711871525	stop	0.009446835310171093	article	0.04041146216017634
paragraph e	0.0008397186942374305	google analytics	0.0008397186942374305	lodge	0.05290227773695812	protection	0.05657604702424688
f	0.003778734124068437	flurry analytics	0.00041985934711871525	correct	0.06507819880340086	entitle	0.015429831006612785
advertisement	0.0014695077149155032	mopubs	0.000524824183898394	follow	0.012490815576781777	personal	0.5099191770756797
remedy	0.002204261572373255	european economic area	0.004198593471187152	load	0.002204261572373255	general	0.011021307861866276
authority	0.05982995696441692	united kingdom	0.00262412091949197	store	0.021517791539834154	delay	0.011021307861866276
prejudice	0.00440852314474651	switzerland	0.0036737692872887582	remove	0.025821349847800986	accord	0.008082292432035268
appeal	0.0014695077149155032	mopub partners	0.000524824183898394	contact	0.05678597669780624	erasure	0.036737692872887584
update	0.01668940904796893	united states	0.001049648367796788	want	0.02750078723627585	restrict	0.07347538574577517
information	0.3299044819985305	advertising demand partner	0.001049648367796788	handle	0.0019943318988138972	processing	0.19030124908155768
file	0.001679437388474861	publisher partner	0.0009446835310171093	send	0.020573108008817047	limit	0.01763409257898604
inaccuracy	0.00871208145271334	carly solutions gmbh co kg	0.000524824183898394	access	0.09257898603967671	provide	0.10139603232916973
account	0.07337042090899548	paypal	0.000524824183898394	gather	0.001574472551695182	condition	0.005878030859662013
data portability	0.018368846436443792	digital advertising alliances	0.000524824183898394	modify	0.018158916762884433	certain	0.06318883174136664
law	0.028445470767292955	flow	0.000524824183898394	prevent	0.007872362758475911	pre	0.0014695077149155032
circumstance	0.02991497848220846	r2games	0.0006297890206780728	oppose	0.005353206675763619	meet	0.0036737692872887582
complaint	0.08376193975018369	supervisory authority autoriteit persoonsgegevens	0.000524824183898394	withdraw	0.022777369581190303	18	0.011021307861866276
addition	0.011126272698645953	data protection supervisory authority	0.001574472551695182	reject	0.0013645428781358245	structured	0.029390154298310066
accordance	0.03064973233966621	personal data protection commission	0.000524824183898394	enforce	0.0014695077149155032	format	0.0440852314474651
art	0.01406528812847696	singapore	0.0007347538574577516	erasure	0.005353206675763619	20	0.0073475385745775165
game setting	0.001574472551695182	personal information	0.007977327595255589	carry	0.007872362758475911	receive	0.0440852314474651
section request	0.001154613204576467	tandem	0.001154613204576467	obtain	0.028655400440852314	established	0.0014695077149155032
