	KeyBert	KeyBert_Freq	TextRank_NOUN	TextRank_NOUN_Freq	TextRank_PROPN	TextRank_PROPN_Freq	TextRank_VERB	TextRank_VERB_Freq	SingleRank_NOUN	SingleRank_NOUN_Freq	SingleRank_PROPN	SingleRank_PROPN_Freq	SingleRank_VERB	SingleRank_VERB_Freq	PositionRank_NOUN	PositionRank_NOUN_Freq	PositionRank_PROPN	PositionRank_PROPN_Freq	PositionRank_VERB	PositionRank_VERB_Freq	MultipartiteRank	MultipartiteRank_Freq	Yake_NOUN	Yake_NOUN_Freq	Yake_PROPN	Yake_PROPN_Freq	Yake_VERB	Yake_VERB_Freq	sCAKE_NOUN	sCAKE_NOUN_Freq	sCAKE_PROPN	sCAKE_PROPN_Freq	sCAKE_VERB	sCAKE_VERB_Freq	SGRank_NOUN	SGRank_NOUN_Freq	SGRank_PROPN	SGRank_PROPN_Freq	SGRank_VERB	SGRank_VERB_Freq
0	personal	813.0	right	672.0	privacy policy	132.0	contact	573.0	right	672.0	privacy policy	132.0	contact	573.0	right	672.0	privacy policy	132.0	contact	573.0	right	546	right	686.0	privacy	176.0	contact	571.0	right	527.0	privacy policy	25.0	contact	237.0	right	658.0	privacy	168.0	contact	383.0
1	information	694.0	information	592.0	gdpr	75.0	request	249.0	information	592.0	gdpr	75.0	request	249.0	information	592.0	gdpr	75.0	request	249.0	contact	534	information	662.0	policy	146.0	request	249.0	information	449.0	gdpr	24.0	delete	163.0	information	610.0	policy	141.0	request	226.0
2	right	686.0	datum	549.0	personal	33.0	delete	233.0	datum	549.0	personal	33.0	delete	233.0	datum	549.0	personal	33.0	delete	233.0	information	522	datum	613.0	data	102.0	delete	245.0	datum	434.0	data protection officer	24.0	request	152.0	datum	575.0	data	93.0	delete	222.0
3	datum	610.0	question	256.0	article	29.0	provide	185.0	question	256.0	article	29.0	provide	185.0	question	256.0	article	29.0	provide	185.0	datum	462	question	292.0	gdpr	76.0	provide	185.0	processing	223.0	general data protection regulation	11.0	provide	148.0	processing	272.0	protection	71.0	provide	180.0
4	contact	605.0	processing	244.0	data protection officer	24.0	object	172.0	processing	244.0	data protection officer	24.0	object	172.0	processing	244.0	data protection officer	24.0	object	172.0	request	257	processing	275.0	protection	71.0	object	177.0	question	180.0	european economic area	11.0	process	117.0	question	255.0	gdpr	51.0	process	162.0
5	email	496.0	time	146.0	personal data	17.0	process	143.0	time	146.0	personal data	17.0	process	143.0	time	146.0	personal data	17.0	process	143.0	use	252	data	175.0	personal	71.0	process	164.0	time	131.0	united kingdom	10.0	access	87.0	data	175.0	personal	44.0	access	150.0
6	request	356.0	complaint	139.0	personal information	17.0	access	135.0	complaint	139.0	personal information	17.0	access	135.0	complaint	139.0	personal information	17.0	access	135.0	question	219	account	160.0	information	46.0	access	157.0	complaint	124.0	article	7.0	object	81.0	account	156.0	information	35.0	object	129.0
7	use	291.0	copy	111.0	information	16.0	ask	106.0	copy	111.0	information	16.0	ask	106.0	copy	112.0	information	16.0	ask	106.0	processing	200	time	147.0	officer	33.0	correct	108.0	copy	97.0	eu	7.0	ask	78.0	time	148.0	officer	32.0	hold	106.0
8	question	290.0	request	107.0	eu	16.0	hold	106.0	request	107.0	eu	16.0	hold	106.0	email	109.0	eu	16.0	hold	106.0	delete	191	complaint	145.0	article	29.0	ask	106.0	request	94.0	office	7.0	hold	67.0	complaint	138.0	article	29.0	ask	100.0
9	processing	274.0	account	102.0	data	13.0	restrict	94.0	email	107.0	data	13.0	restrict	94.0	request	107.0	data	13.0	restrict	94.0	object	186	service	130.0	eu	24.0	hold	106.0	use	92.0	data protection authority	6.0	correct	66.0	service	130.0	european	20.0	correct	100.0
10	privacy	266.0	email	101.0	general data protection regulation	11.0	correct	94.0	account	102.0	general data protection regulation	11.0	correct	94.0	account	103.0	general data protection regulation	11.0	correct	94.0	email	163	email	127.0	european	20.0	restrict	98.0	service	88.0	united states	6.0	receive	65.0	email	121.0	eu	19.0	update	90.0
11	data	261.0	service	99.0	european economic area	11.0	lodge	86.0	service	99.0	european economic area	11.0	lodge	86.0	service	99.0	european economic area	11.0	lodge	86.0	privacy policy	160	request	124.0	limited	17.0	update	93.0	account	81.0	ico	5.0	use	61.0	request	120.0	limited	17.0	restrict	83.0
12	delete	247.0	use	97.0	eea	10.0	send	85.0	use	97.0	eea	10.0	send	85.0	use	97.0	eea	10.0	send	85.0	access	148	privacy	112.0	authority	16.0	lodge	86.0	email	81.0	switzerland	5.0	wish	60.0	copy	112.0	authority	16.0	exercise	77.0
13	access	239.0	access	78.0	privacy	10.0	exercise	82.0	access	78.0	privacy	10.0	exercise	82.0	access	79.0	privacy	10.0	exercise	82.0	time	133	copy	112.0	united	15.0	send	85.0	authority	73.0	personal	5.0	send	60.0	privacy	111.0	united	15.0	receive	77.0
