	word_count	tfidf	lda_Topic1	lda_Topic2	lda_Topic3	lda_Topic4	lda_Topic5	lda_Topic6	lda_Topic7	lda_Topic8	lda_Topic9	lda_Topic10
0	personal	right	contact	service	contact	complaint	claim	com	base	gdpr	personal	information
1	information	information	email	page	information	right	place	support	limited	article	right	delete
2	right	personal	privacy	customer	child	protection	controller	mobile	include	receive	datum	account
3	datum	contact	question	information	email	data	street	spotify	profiling	accordance	information	update
4	contact	email	policy	office	believe	authority	games	request	system	note	request	access
5	email	datum	regard	issue	device	datum	add	llc	point	incorrect	processing	correct
6	request	request	address	visit	age	personal	infringement	calabasas	comply	immediately	object	personal
7	processing	question	use	use	app	lodge	inc	phone	letter	delete	process	change
8	data	processing	concern	detail	provide	supervisory	work	send	identity	service	use	setting
9	use	delete	send	uk	co	marketing	register	submit	decision	reason	data	time
10	privacy	privacy	request	find	support	officer	alleged	enjoy	platform	consent	access	provide
11	question	access	mail	contact	use	processing	ltd	respond	ny	personal	copy	profile
12	delete	object	like	number	parent	direct	mention	properly	international	datum	hold	review
13	access	data	practice	ico	collect	relate	defense	publicly	paragraph	communication	restrict	modify
14	policy	use	follow	choose	usa	use	establishment	registered	affect	regulation	provide	remove
15	object	policy	wish	support	website	eu	occur	gmail	new	correct	ask	identifiable
16	account	account	exercise	protection	europe	information	homa	ooo	automate	art	certain	include
17	provide	correct	comment	inquiry	head	object	data	describe	refuse	united	legal	edit
18	process	complaint	data	london	drawer	share	address	drawer	york	data	time	user
19	protection	provide	want	data	team	process	breach	yumobi	automatic	notification	consent	log
20	information	information	support	question	right	email	datum	processing	information	concern	mail	request
21	datum	datum	website	privacy	datum	address	user	right	account	way	circumstance	copy
22	right	right	drawer	policy	processing	query	format	data	service	question	relation	datum
23	processing	question	co	child	complaint	contact	controller	datum	setting	provider	obligation	access
24	question	processing	uk	complaint	information	number	machine	consent	time	dispute	marketing	device
25	email	email	info	email	authority	message	party	interest	page	use	communication	app
26	account	account	ability	practice	purpose	inquiry	profile	ground	contact	notice	preference	form
27	complaint	complaint	betterme	comment	time	assistance	accordance	restriction	detail	team	privacy	game
28	privacy	time	tip	age	law	order	change	protection	section	phone	matter	term
29	request	request	removal	parent	protection	help	business	basis	use	web	case	content
30	data	copy	breach	security	marketing	list	art	portability	cookie	resolution	option	setting
31	time	data	description	place	use	dpo	choice	claim	update	method	addition	instruction
32	copy	privacy	safeguard	suggestion	erasure	data	example	officer	deletion	alternative	letter	resident
33	policy	policy	18th	infringement	rectification	office	article	exercise	customer	respect	time	advertising
34	use	use	ringgo	site	data	mailing	control	contract	correction	password	paragraph	use
35	service	access	delivery	jurisdiction	access	telephone	payment	activity	registration	charge	credit	data
36	authority	authority	ngames	link	section	body	operation	freedom	date	matter	clarification	inaccuracy
37	support	support	mobi	work	situation	vat	collection	performance	issue	cost	article	record
38	access	address	igsinc	guardian	collection	problem	ii	regulator	application	property	product	section
39	concern	service	kr	violation	portability	regard	permission	person	browser	action	transfer	statement
40	contact	contact	send	process	include	delete	use	request	lodge	object	receive	contact
41	delete	request	wish	object	collect	correct	share	hold	store	email	provide	access
42	request	object	review	base	relate	update	visit	restrict	know	believe	use	use
43	use	delete	update	follow	exercise	remove	limit	change	find	erase	concern	regard
44	object	use	use	ask	write	note	stop	provide	let	require	obtain	provide
45	provide	provide	link	need	withdraw	feel	allow	submit	reside	modify	rectify	like
46	process	access	manage	transfer	edit	log	restrict	refer	locate	resolve	transmit	exercise
47	access	process	view	override	address	reach	choose	maintain	consider	retain	entitle	want
48	correct	correct	deactivate	automate	post	ask	control	contest	demand	opt	enable	learn
49	ask	restrict	want	explain	set	want	ask	close	assert	apply	shall	mention
50	update	hold	export	verify	complain	provide	inform	hope	fulfil	describe	complete	list
51	hold	lodge	try	carry	like	register	prevent	enjoy	file	disclose	accord	occur
52	restrict	ask	unsubscribe	want	add	amend	think	read	infringe	want	data	notify
53	regard	regard	record	affect	disable	associate	serve	login	enter	respond	mean	offer
54	send	update	detail	cease	ve	identify	conduct	permit	defend	comply	machine	undergo
55	exercise	exercise	vary	protect	oppose	continue	center	dispute	indicate	live	confirm	report
56	receive	send	ensure	direct	market	block	respect	charge	authenticate	support	meet	hesitate
57	lodge	email	cancel	forget	state	contain	adjust	replace	place	sign	process	assist
58	collect	receive	rate	refuse	permit	account	object	fill	situate	help	check	welcome
59	wish	change	form	profile	download	specify	destroy	supplement	gather	agree	grant	display
